Relationship,Text
targets,"In 2018, the US indicted five GRU Unit 26165 officers associated with  <e1> APT28 </e1> for cyber operations (including close-access operations) conducted between 2014 and 2018 against the World Anti-Doping Agency (WADA), the US Anti-Doping Agency, a US nuclear facility, the Organization for the Prohibition of Chemical Weapons (OPCW), the  <e2> Spiez Swiss Chemicals Laboratory </e2>  and other organizations."
located-at,"BLINDINGCAN is a remote access Trojan that has been used by the North Korean government since at least early 2020 in cyber operations against  <e1> defense </e1>  engineering, and government organizations in  <e2> Western Europe </e2> and the US."
targets,"<e1> Elderwood </e1> is a suspected Chinese cyber espionage group that was reportedly responsible for the 2009 Google intrusion known as Operation Aurora. The group has targeted defense organizations,  <e2> supply chain manufacturers </e2>  human rights and nongovernmental organizations (NGOs), and IT service providers."
controls,"<e1> Impacket </e1> is an open source collection of modules written in Python for programmatically constructing and manipulating  <e2> network protocols </e2>  Impacket contains several tools for remote service execution, Kerberos manipulation, Windows credential dumping, packet sniffing, and relay attacks."
targets,"<e1> Mustang Panda </e1> has targeted government entities, nonprofits, religious, and other  <e2> non-governmental organizations </e2> in the U."
targets,"<e1> APT32 </e1> is a suspected Vietnam-based threat group that has been active since at least 2014. The group has targeted multiple private sector industries as well as foreign governments, dissidents, and journalists with a strong focus on Southeast Asian countries like Vietnam, the Philippines,  <e2> Laos </e2>  and Cambodia."
located-at,"The adversarial collective is said to have targeted entities in  <e1> tech </e1>  transportation, government, and education sectors located in the  <e2> U. </e2>  Middle East, and India."
actived-on,<e1> ABK  </e1> s a downloader that has been used by BRONZE BUTLER since at least  <e2> 2019 </e2>.
located-at,"This adversary has been observed since at least May 2012 conducting focused attacks against government and  <e1> critical infrastructure </e1> in  <e2> Myanmar </e2>  as well as several other countries and sectors including military, automobile, and weapons industries."
actived-on,"<e1> Silence </e1> is a financially motivated threat actor targeting financial institutions in different countries. The group was first seen in  <e2> June 2016 </e2>  Their main targets reside in Russia, Ukraine, Belarus, Azerbaijan, Poland and Kazakhstan."
targets,"<e1> APT32 </e1> is a suspected Vietnam-based threat group that has been active since at least 2014. The group has targeted multiple private sector industries as well as  <e2> foreign governments </e2>  dissidents, and journalists with a strong focus on Southeast Asian countries like Vietnam, the Philippines, Laos, and Cambodia."
targets,"<e1> Orangeworm </e1> is a group that has targeted organizations in the healthcare sector in the United States,  <e2> Europe </e2>  and Asia since at least 2015, likely for the purpose of corporate espionage."
associated-with,"<e1> MuddyWater </e1> is a cyber espionage group assessed to be a subordinate element within  <e2> Iran's Ministry of Intelligence and Security (MOIS) </e2>  Since at least 2017, MuddyWater has targeted a range of government and private organizations across sectors, including telecommunications, local government, defense, and oil and natural gas organizations, in the Middle East, Asia, Africa, Europe, and North America."
belongs-to,<e1> ANDROIDOS_ANSERVER. A </e1> is  <e2> Android malware </e2> that is unique because it uses encrypted content within a blog site for command and control.
targets,"<e1> Group5 </e1> is a threat group with a suspected Iranian nexus, though this attribution is not definite. The group has targeted individuals connected to the  <e2> Syrian </e2> opposition via spearphishing and watering holes, normally using Syrian and Iranian themes."
targets,<e1> DarkVishnya </e1> is a financially motivated threat actor targeting financial institutions in  <e2> Eastern Europe </e2>  In 2017-2018 the group attacked at least 8 banks in this region.
originates-from,<e1> Darkhotel </e1> is a suspected  <e2> South Korean </e2> threat group that has targeted victims primarily in East Asia since at least 2004.
targets,<e1> DarkHydrus </e1> is a threat group that has targeted government agencies and educational institutions in the  <e2> Middle East </e2> since at least 2016.
belongs-to,The  <e1> ME </e1> is an  <e2> embedded microcontroller </e2> within Intel chipsets running a micro-OS to provide out-of-band services.
targets,"<e1> Javali </e1> is a banking trojan that has targeted Portuguese and Spanish-speaking countries since 2017, primarily focusing on customers of financial institutions in  <e2> Brazil </e2> and Mexico."
targets,"Also last weekend,  <e1> Turkish hackers </e1> took over  <e2> Arutz Meir </e2>  an Israeli site focused on Torah education."
located-at,"Mustang Panda has targeted government entities, nonprofits,  <e1> religious </e1>  and other non-governmental organizations in the U. , Europe, Mongolia,  <e2> Myanmar </e2>  Pakistan, and Vietnam, among others."
targets,"Active since at least 2014,  <e1> APT38 </e1> has targeted  <e2> bank </e2> , financial institutions, casinos, cryptocurrency exchanges, SWIFT system endpoints, and ATMs in at least 38 countries worldwide."
targets,"<e1> BlackEnergy </e1> is a malware toolkit that has been used by both criminal and APT actors. It is well known for being used during the confrontation between  <e2> Georgia </e2> and Russia in 2008, as well as in targeting Ukrainian institutions."
targets,"<e1> LAPSUS$ </e1> is cyber criminal threat group that has been active since at least mid-2021. The group has targeted organizations globally, including in the government, manufacturing, higher education, energy, healthcare,  <e2> technology </e2>  telecommunications, and media sectors."
located-at,"Today 100's of Indian Government, Education and <e1>  Corporate websites </e1>  <e2> India </e2>  Government, Education and Corporate websites was also Hacked By ZCompany Hacking Crew."
located-at,"Transparent Tribe is a suspected Pakistan-based threat group that has been active since at least 2013, primarily targeting diplomatic,  <e1> defense </e1>  and research organizations in India and  <e2> Afghanistan </e2>."
uses,<e1> Android/Chuli. A </e1> is Android malware that was delivered to activist groups via a  <e2> spearphishing email </e2> with an attachment.
uses,"Hydraq is a data-theft trojan first used by Elderwood in the  <e1> 2009 Google intrusion </e1>  <e2> Hydraq </e2> is a data-theft trojan first used by Elderwood in the 2009 Google intrusion known as Operation Aurora, though variations of this trojan have been used in more recent campaigns by other Chinese actors, possibly including APT17."
located-at,"They have been observed targeting  <e1> government </e1>  military, and business entities throughout Asia, primarily focusing on Pakistan,  <e2> China </e2>  Nepal, and Afghanistan."
targets,"<e1> Metador </e1> has targeted a limited number of telecommunication companies, internet service providers, and universities in the Middle East and  <e2> Africa </e2>  Security researchers named the group Metador based on the ""I am meta"" string in one of the group's malware samples and the expectation of Spanish-language responses from C2 servers."
compromises,"The suspected  <e1> China-based actor </e1>  compromised government organizations and managed service providers, as well as aviation, construction,  <e2> energy </e2>  finance, health care, insurance, offshore engineering, software development, and transportation companies."
located-at,"The adversarial collective is said to have targeted entities in  <e1> tech </e1>  transportation, government, and education sectors located in the U. ,  <e2> Middle East </e2>  and India."
uses,HyperStack has similarities to other backdoors used by Turla including  <e1> Carbon </e1>  <e2> HyperStack </e2> has similarities to other backdoors used by Turla including Carbon.
targets,"<e1> APT12 </e1> is a threat group that has been attributed to China. The group has targeted a variety of victims including but not limited to media outlets,  <e2> high-tech companies </e2>  and multiple governments."
associated-with,"In 2020, security researchers noted overlapping TTPs, to include fake job lures and code similarities, between Operation Dream Job, Operation North Star, and Operation Interception; by 2022 security researchers described  <e1> Operation Dream Job </e1> as an umbrella term covering both  <e2> Operation Interception </e2> and Operation North Star."
targets,"<e1> SilverTerrier </e1> mainly targets organizations in high  <e2> technology </e2>  higher education, and manufacturing."
uses,"During  <e1> Operation Ghost </e1>  APT29 used new families of malware and leveraged web services,  <e2> steganography </e2>  and unique C2 infrastructure for each victim."
targets,"<e1> menuPass </e1> has targeted healthcare, defense, aerospace, finance, maritime, biotechnology, energy, and government sectors globally, with an emphasis on Japanese organizations. In 2016 and 2017, the group is known to have targeted managed IT service providers (MSPs), manufacturing and  <e2> mining companies </e2>  and a university."
originates-from,"<e1> Axiom </e1> is a suspected  <e2> Chinese </e2> cyber espionage group that has targeted the aerospace, defense, government, manufacturing, and media sectors since at least 2008."
targets,"<e1> FIN4 </e1> is a financially-motivated threat group that has targeted confidential information related to the  <e2> public financial market </e2>  particularly regarding healthcare and pharmaceutical companies, since at least 2013."
hosts,"Operation Dream Job was a cyber espionage operation likely conducted by  <e1> Lazarus Group </e1> that targeted the defense, aerospace, government, and other sectors in the United States, Israel, Australia, Russia, and India. In at least one case, the cyber actors tried to monetize their network access to conduct a  <e2> business email compromise (BEC) operation </e2>  In 2020, security researchers noted overlapping TTPs, to include fake job lures and code similarities, between Operation Dream Job, Operation North Star, and Operation Interception; by 2022 security researchers described Operation Dream Job as an umbrella term covering both Operation Interception and Operation North Star."
originates-from,"<e1> Gamaredon </e1> Group is a suspected  <e2> Russian </e2> cyber espionage threat group that has targeted military, NGO, judiciary, law enforcement, and non-profit organizations in Ukraine since at least 2013."
targets,<e1> RTM </e1> is a cybercriminal group that has been active since at least 2015 and is primarily interested in users of remote banking systems in  <e2> Russia </e2> and neighboring countries.
belongs-to,<e1> Zeus Panda </e1> is a  <e2> Trojan </e2> designed to steal banking information and other sensitive credentials for exfiltration.
uses,<e1> Threat Group-3390 </e1> is a Chinese threat group that has extensively used  <e2> strategic Web compromises </e2> to target victims.
associated-with,Researchers have detected overlaps between  <e1> Rocke </e1> and the  <e2> Iron Cybercrime Group </e2>  though this attribution has not been confirmed.
operated-on,military networks in  <e1> 2008 </e1>  <e2> Agent. btz </e2> is a worm that primarily spreads itself via removable devices such as USB drives.
targets,"<e1> Operation Sharpshooter </e1> was a global cyber espionage campaign that targeted nuclear, defense, government, energy, and  <e2> financial </e2> companies, with many located in Germany, Turkey, the United Kingdom, and the United States."
targets,"<e1> Operation Spalax </e1> was a campaign that primarily targeted Colombian government organizations and private companies, particularly those associated with the energy and  <e2> metallurgical </e2> industries."
hosts,A has the capability to be used for  <e1> industrial espionage </e1>  <e2> ACAD/Medre. A </e2> has the capability to be used for industrial espionage.
targets,A recent malicious campaign delivering  <e1> Magniber </e1> ransomware has been targeting Windows home users with fake security updates. Threat actors created in September websites that promoted fake antivirus and security updates for  <e2> Windows 10 </e2>  The downloaded malicious files (ZIP archives) contained JavaScript that initiated an intricate infection with the file-encrypting malware.
similar-to,"Some analysts track  <e1> Deep Panda </e1> and  <e2> APT19 </e2> as the same group, but it is unclear from open source information if the groups are the same."
targets,"<e1> BADHATCH </e1> has been used to target the insurance, retail,  <e2> technology </e2>  and chemical industries in the United States, Canada, South Africa, Panama, and Italy."
belongs-to,"North Korean group definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the name Lazarus Group instead of tracking clusters or subgroups, such as Andariel,  <e1> APT37 </e1>  <e2> Lazarus Group </e2> instead of tracking clusters or subgroups, such as Andariel, APT37, APT38, and Kimsuky."
actived-on,"<e1> APT29 </e1> is threat group that has been attributed to Russia's Foreign Intelligence Service (SVR). They have operated since at least  <e2> 2008 </e2>  often targeting government networks in Europe and NATO member countries, research institutes, and think tanks."
targets,"<e1> BRONZE BUTLER </e1> is a cyber espionage group with likely Chinese origins that has been active since at least 2008. The group primarily targets Japanese organizations, particularly those in government,  <e2> biotechnology </e2>  electronics manufacturing, and industrial chemistry."
uses,<e1> FIN10 </e1> is a financially motivated threat group that has targeted organizations in North America since at least 2013 through 2016. The group uses  <e2> stolen data exfiltrated from victims </e2> to extort organizations.
targets,"<e1> Fox Kitten </e1> is threat actor with a suspected nexus to the Iranian government that has been active since at least 2017 against entities in the Middle East,  <e2> North Africa </e2>  Europe, Australia, and North America."
uses,<e1> DarkHydrus </e1> is a threat group that has targeted government agencies and educational institutions in the Middle East since at least 2016. The group heavily leverages open-source tools and  <e2> custom payloads </e2> for carrying out attacks.
targets,<e1> AuTo Stealer </e1> is malware written in C++ has been used by SideCopy since at least December 2021 to target government agencies and personnel in  <e2> India </e2> and Afghanistan.
hosts,<e1> IndigoZebra </e1> is a suspected Chinese  <e2> cyber espionage </e2> group that has been targeting Central Asian governments since at least 2014.
actived-on,"<e1> APT41 </e1> is a threat group that researchers have assessed as Chinese state-sponsored espionage group that also conducts financially-motivated operations. Active since at least  <e2> 2012 </e2>  APT41 has been observed targeting healthcare, telecom, technology, and video game industries in 14 countries."
uses,<e1> InnaputRAT </e1> is a  <e2> remote access </e2> tool that can exfiltrate files from a victim’s machine.
belongs-to,<e1> XTunnel </e1> a  <e2> VPN-like network proxy tool </e2> that can relay traffic between a C2 server and a victim.
actived-on,"In 2017, a  <e1> phishing campaign </e1>  <e2> 2017 </e2>  a phishing campaign was used to target seven law and investment firms."
located-at,"They have been observed targeting  <e1> government </e1>  military, and business entities throughout Asia, primarily focusing on Pakistan, China,  <e2> Nepal </e2>  and Afghanistan."
belongs-to,<e1> Andariel </e1> is considered a sub-set of <e2>  Lazarus Group </e2>  and has been attributed to North Korea's Reconnaissance General Bureau.
targets,"<e1> ALLANITE </e1> is a suspected Russian cyber espionage group, that has primarily targeted the  <e2> electric utility sector </e2> within the United States and United Kingdom."
targets,"<e1> Bazar </e1> is a downloader and backdoor that has been used since at least April 2020, with infections primarily against professional services, healthcare, manufacturing, IT, logistics and  <e2> travel companies </e2> across the US and Europe."
targets,"As of March 2022,  <e1> AvosLocker </e1> had also been used against organizations in Belgium, Canada, China, Germany, Saudi Arabia, Spain, Syria, Taiwan, Turkey, the  <e2> United Arab Emirates </e2>  and the United Kingdom."
targets,"<e1> SideCopy </e1> is a Pakistani threat group that has primarily targeted  <e2> South Asian countries </e2>  including Indian and Afghani government personnel, since at least 2019."
originates-from,<e1> APT16 </e1> is a  <e2> China </e2> based threat group that has launched spearphishing campaigns targeting Japanese and Taiwanese organizations.
belongs-to,"This morning after hack, website of The social development department opened to a black page with a window containing the animated graphic ""Website hacked by  <e1> H4ksnipe </e1> "". ""From statement, its clear that hacker belongs to  <e2> Morocco </e2> and claiming to defend it from its enemy."
targets,"<e1> Operation Dream Job </e1> was a cyber espionage operation likely conducted by Lazarus Group that targeted the defense, aerospace,  <e2> government </e2>  and other sectors in the United States, Israel, Australia, Russia, and India."
uses,"<e1> Thrip </e1> is an espionage group that has targeted satellite communications, telecoms, and defense contractor companies in the U. The group uses custom malware as well as "" <e2> living off the land </e2>  techniques."
originates-from,<e1> Winnti </e1> Group is a threat group with  <e2> Chinese </e2> origins that has been active since at least 2010.
targets,<e1> IndigoZebra </e1> is a suspected Chinese cyber espionage group that has been targeting  <e2> Central Asian governments </e2> since at least 2014.
targets,"<e1> Tonto </e1> Team has targeted government, military,  <e2> energy </e2>  mining, financial, education, healthcare, and technology organizations, including through the Heartbeat Campaign (2009-2012) and Operation Bitter Biscuit (2017)."
hosts,<e1> EXOTIC LILY </e1> is a financially motivated group that has been closely linked with Wizard Spider and the deployment of ransomware including  <e2> Conti </e2> and Diavol.
actived-on,<e1> Poseidon </e1> Group is a Portuguese-speaking threat group that has been active since at least  <e2> 2005 </e2>  The group has a history of using information exfiltrated from victims to blackmail victim companies into contracting the Poseidon Group as a security firm.
uses,"Active since at least 2010,  <e1> Dragonfly </e1> has targeted defense and aviation companies, government entities, companies related to industrial control systems, and critical infrastructure sectors worldwide through supply chain,  <e2> spearphishing </e2>  and drive-by compromise attacks."
actived-on,<e1> Ixeshe </e1> is a malware family that has been used since at least  <e2> 2009 </e2> against targets in East Asia.
targets,"<e1> Silence </e1> is a financially motivated threat actor targeting financial institutions in different countries. Their main targets reside in Russia, Ukraine, Belarus, Azerbaijan,  <e2> Poland </e2> and Kazakhstan."
belongs-to,The  <e1> ME </e1> is an embedded microcontroller within  <e2> Intel chipsets </e2> running a micro-OS to provide out-of-band services.
targets,"The  <e1> SolarWinds Compromise </e1> was a sophisticated supply chain cyber operation conducted by APT29 that was discovered in mid-December 2020. Victims of this campaign included government,  <e2> consulting </e2>  technology, telecom, and other organizations in North America, Europe, Asia, and the Middle East."
belongs-to,"<e1> ZxShell </e1> is a remote administration tool and  <e2> backdoor </e2> that can be downloaded from the Internet, particularly from Chinese hacker websites."
targets,"Active since at least 2012,  <e1> APT41 </e1> has been observed targeting healthcare, telecom,  <e2> technology </e2>  and video game industries in 14 countries."
attributed-to,<e1> Sandworm Team </e1> is a destructive threat group that has been attributed to  <e2> Russia's General Staff Main Intelligence Directorate (GRU) Main Center for Special Technologies (GTsST) military unit 74455 </e2>  This group has been active since at least 2009.
targets,"<e1> Orangeworm </e1> is a group that has targeted organizations in the  <e2> healthcare </e2> sector in the United States, Europe, and Asia since at least 2015, likely for the purpose of corporate espionage."
located-at,"Active since at least 2009, Leviathan has targeted the following sectors: academia,  <e1> aerospace </e1> aviation, biomedical, defense industrial base, government, healthcare, manufacturing, maritime, and transportation across the US, Canada,  <e2> Europe </e2>  the Middle East, and Southeast Asia."
targets,"AppleJeus has been used by  <e1> Lazarus Group </e1>  targeting companies in the energy, finance, government, industry, technology, and telecommunications sectors, and several countries including the United States,  <e2> United Kingdom </e2>  South Korea, Australia, Brazil, New Zealand, and Russia."
located-at,"Since at least 2017, MuddyWater has targeted a range of government and private organizations across sectors, including telecommunications, local government,  <e1> defense </e1>  and oil and natural gas organizations, in the Middle East, Asia,  <e2> Africa </e2>  Europe, and North America."
targets,"<e1> Astaroth </e1> is a Trojan and information stealer known to affect companies in Europe, Brazil, and throughout  <e2> Latin America </e2>  It has been known publicly since at least late 2017."
located-at,"BITTER has primarily targeted government, energy, and  <e1> engineering </e1> organizations in Pakistan,  <e2> China </e2>  Bangladesh, and Saudi Arabia."
uses,ABK is a downloader that has been used by  <e1> BRONZE BUTLER </e1>  <e2> ABK  </e2> s a downloader that has been used by BRONZE BUTLER since at least 2019.
located-at,"Mustang Panda has targeted  <e1> government </e1> entities, nonprofits, religious, and other non-governmental organizations in the U. ,  <e2> Europe </e2>  Mongolia, Myanmar, Pakistan, and Vietnam, among others."
compromises,<e1> XcodeGhost </e1> is iOS malware that infected at least 39  <e2> iOS apps </e2> in 2015 and potentially affected millions of users.
located-at,"From 2017 through 2018, the group led an espionage campaign called Operation Shaheen targeting  <e1> government </e1> and military organizations in  <e2> Pakistan </e2>."
hosts,<e1> Gallmaker </e1> is a  <e2> cyberespionage </e2> group that has targeted victims in the Middle East and has been active since at least December 2017.
actived-on,"<e1> APT28 </e1> is a threat group that has been attributed to Russia's General Staff Main Intelligence Directorate (GRU) 85th Main Special Service Center (GTsSS) military unit 26165. This group has been active since at least  <e2> 2004 </e2> 
APT28 reportedly compromised the Hillary Clinton campaign, the Democratic National Committee, and the Democratic Congressional Campaign Committee in 2016 in an attempt to interfere with the U."
targets,"<e1> Cobalt Group </e1> is a financially motivated threat group that has primarily targeted financial institutions since at least 2016. The group has conducted intrusions to steal money via targeting ATM systems, card processing, payment systems and  <e2> SWIFT systems </e2>  Cobalt Group has mainly targeted banks in Eastern Europe, Central Asia, and Southeast Asia."
belongs-to,"They have been observed targeting government, military, and business entities throughout Asia, primarily focusing on  <e1> Pakistan </e1>  <e2> Asia </e2>  primarily focusing on Pakistan, China, Nepal, and Afghanistan."
originates-from,"<e1> Moafee </e1> is a threat group that appears to operate from the  <e2> Guandong Province of China </e2>  Due to overlapping TTPs, including similar custom tools, Moafee is thought to have a direct or indirect relationship with the threat group DragonOK."
uses,"<e1> Indrik Spider </e1> initially started with the Dridex banking Trojan, and then by 2017 they began running ransomware operations using  <e2> BitPaymer </e2>  WastedLocker, and Hades ransomware."
targets,"<e1> Higaisa </e1> has targeted government, public, and trade organizations in North Korea; however, they have also carried out attacks in China,  <e2> Japan </e2>  Russia, Poland, and other nations."
targets,"<e1> APT33 </e1> is a suspected Iranian threat group that has carried out operations since at least 2013. The group has targeted organizations across multiple industries in the  <e2> United States </e2>  Saudi Arabia, and South Korea, with a particular interest in the aviation and energy sectors."
targets,"<e1> GALLIUM </e1> is a cyberespionage group that has been active since at least 2012, primarily targeting telecommunications companies, financial institutions, and government entities in Afghanistan,  <e2> Australia </e2>  Belgium, Cambodia, Malaysia, Mozambique, the Philippines, Russia, and Vietnam."
associated-with,"net,"" "" <e1>. org </e1> "" and "". xyz"" domains that were used as  <e2> command-and-control infrastructure </e2> to facilitate the spear-phishing campaign."
associated-with,"A group known by  <e1> Microsoft </e1> as  <e2> NEODYMIUM </e2> is reportedly associated closely with BlackOasis operations, but evidence that the group names are aliases has not been identified."
actived-on,<e1> Carbanak </e1> is a cybercriminal group that has used Carbanak malware to target financial institutions since at least  <e2> 2013 </e2>  Carbanak may be linked to groups tracked separately as Cobalt Group and FIN7 that have also used Carbanak malware.
targets,"ZDNet: US security technology group Crowdstrike has identified another  <e1> cyber espionage group </e1> with links to the Chinese military, which has been systematically attacking US and  <e2> European government </e2> partners in the space and satellite ICS, according to the company."
targets,"<e1>  Andariel </e1> has primarily focused its operations--which have included destructive attacks--against South Korean  <e2> government agencies </e2>  military organizations, and a variety of domestic companies; they have also conducted cyber financial operations against ATMs, banks, and cryptocurrency exchanges."
targets,"Since at least 2017,  <e1> MuddyWater </e1> has targeted a range of government and private organizations across sectors, including telecommunications, local government, defense, and  <e2> oil </e2> and natural gas organizations, in the Middle East, Asia, Africa, Europe, and North America."
targets,"<e1> Operation Dream Job </e1> was a cyber espionage operation likely conducted by Lazarus Group that targeted the defense, aerospace, government, and other sectors in the United States, Israel, Australia, Russia, and  <e2> India </e2>  In at least one case, the cyber actors tried to monetize their network access to conduct a business email compromise (BEC) operation."
targets,<e1> Zeus Panda </e1> is a Trojan designed to steal  <e2> banking information </e2> and other sensitive credentials for exfiltration.
targets,"Microsoft's Digital Crimes Unit (DCU) last week disclosed that it had taken legal proceedings against an Iranian threat actor dubbed Bohrium in connection with a  <e1> spear-phishing operation </e1> The adversarial collective is said to have targeted entities in tech,  <e2> transportation </e2>  government, and education sectors located in the U."
associated-with,"<e1> Bumblebee </e1> has been linked to ransomware operations including  <e2> Conti </e2>  Quantum, and Mountlocker and derived its name from the appearance of ""bumblebee"" in the user-agent."
targets,"<e1> Operation CuckooBees </e1> was a cyber espionage campaign targeting technology and manufacturing companies in East Asia,  <e2> Western Europe </e2>  and North America since at least 2019."
actived-on,<e1> Kessel </e1> has been active since its C2 domain began resolving in  <e2> August 2018 </e2>.
hosts,<e1> BRONZE BUTLER </e1> is a  <e2> cyber espionage </e2> group with likely Chinese origins that has been active since at least 2008.
located-at,"It was first observed in June 2021 and has been used against financial services, critical manufacturing,  <e1> government </e1> facilities, and other critical infrastructure sectors in the  <e2> United State </e2>."
targets,"<e1> Black Basta </e1> affiliates have targeted multiple high-value organizations, with the largest number of victims based in the  <e2> U. S </e2>  Based on similarities in TTPs, leak sites, payment sites, and negotiation tactics, security researchers assess the Black Basta RaaS operators could include current or former members of the Conti group."
targets,"<e1> Silence </e1> is a financially motivated threat actor targeting financial institutions in different countries. Their main targets reside in Russia, Ukraine, Belarus, Azerbaijan, Poland and  <e2> Kazakhstan </e2>  They compromised various banking systems, including the Russian Central Bank's Automated Workstation Client, ATMs, and card processing."
actived-on,"<e1> xCaon </e1> is an HTTP variant of the BoxCaon malware family that has used by IndigoZebra since at least  <e2> 2014 </e2>  xCaon has been used to target political entities in Central Asia, including Kyrgyzstan and Uzbekistan."
targets,"<e1> BRONZE BUTLER </e1> is a cyber espionage group with likely Chinese origins that has been active since at least 2008. The group primarily targets Japanese organizations, particularly those in  <e2> government </e2>  biotechnology, electronics manufacturing, and industrial chemistry."
targets,<e1> Action RAT </e1> is a remote access tool written in Delphi that has been used by SideCopy since at least December 2021 against  <e2> Indian </e2> and Afghani government personnel.
belongs-to,<e1> Judy </e1> is auto-clicking  <e2> adware </e2> that was distributed through multiple apps in the Google Play Store.
belongs-to,Saudi Arabia?s central bank has reportedly been hit with the destructive disk-wiping malware called  <e1> Shamoon </e1>  <e2> destructive disk-wiping malware </e2> called Shamoon that affected multiple government entities? computer networks over the past two weeks.
